"Symbol","ListedDate","ListedYear","ABSymbol","HSymbol","EstablishDate","IpoDate","CompanyListedDate","IsIPO","TotalShares","IssuePrice","CurrencyCode","ClosePrice","ReturnRate","TurnoverRate1","TurnoverRate2","PE","PB"
"600089","1997-06-18","1997","","","1993-02-26","1997-06-04","1997-06-18","A","30000000","5.1900","CNY","12.600","1.427746","0.27374","0.74531","54.71","11.12"
"600090","1997-06-16","1997","","","1993-04-26","1997-05-12","1997-06-16","A","30000000","4.0500","CNY","11.600","1.864198","0.16953","0.45208","81.47","11.40"
"600091","1997-07-04","1997","","","1997-06-26","1997-06-13","1997-07-04","A","37000000","5.2800","CNY","8.800","0.666667","0.19963","0.60668","31.61","9.02"
"600092","1997-06-26","1997","","","1992-12-28","1997-06-11","1997-06-26","A","40000000","3.0000","CNY","8.580","1.860000","0.22491","0.74192","49.07","6.86"
"600093","1997-06-26","1997","","","1997-06-23","1997-06-10","1997-06-26","A","30000000","8.0500","CNY","14.750","0.832298","0.22546","0.62628","54.40","24.58"
"600094","1997-07-03","1997","900940","","1996-07-18","1997-06-24","1997-07-03","B","40000000","7.0400","CNY","10.900","0.548295","0.07474","0.49524","32.40","6.33"
"600095","1997-07-08","1997","","","1993-12-28","1997-06-23","1997-07-08","A","50000000","5.7800","CNY","11.150","0.929066","0.26254","0.68261","46.54","8.60"
"600096","1997-07-09","1997","","","1997-03-18","1997-06-18","1997-07-09","A","100000000","6.2100","CNY","8.120","0.307568","0.08317","0.52507","22.18","10.02"
"600097","1997-06-19","1997","","","1997-06-10","1997-05-21","1997-06-19","A","35000000","6.6100","CNY","14.250","1.155825","0.17108","0.62701","37.46","20.45"
"600098","1997-07-18","1997","","","1997-07-11","1997-06-27","1997-07-18","A","100000000","7.8700","CNY","16.350","1.077510","0.08929","0.66075","36.04","12.49"
"600099","1997-07-04","1997","","","1997-06-28","1997-06-17","1997-07-04","A","40000000","6.0900","CNY","12.450","1.044335","0.26116","0.76898","31.99","13.01"
"600100","1997-06-27","1997","","","1997-06-25","1997-06-12","1997-06-27","A","42000000","8.2800","CNY","33.900","3.094203","0.28131","0.82384","83.59","36.62"
