month,MarketR,MarketR_e,rfmonth,ret,ret_e,marketret3,marketret6,marketret12,ipor,pd,l.pd,l.ipor
2000,0.160838,0.140568,0.001856,0.158982,0.138712,0.369752704773729,0.454585679198145,0.543185541139668,1.64848717482333,5.31105018097634,,
2000.08333333333,0.122024,0.128347,0.001856,0.120168,0.126491,0.194614626547881,0.306102686194855,0.312228744404739,0.529861,5.42986905509999,5.31105018097634,1.64848717482333
2000.16666666667,0.055926,0.104864,0.001856,0.05407,0.103008,0.0937096519928837,0.157335401500004,0.0964045063356183,1.5309756515662,5.49394685284681,5.42986905509999,0.529861
2000.25,0.013014,0.015806,0.001856,0.011158,0.01395,0.0601821417303279,0.0454016251814491,0.117583603790006,1.99273673258662,5.47470725804987,5.49394685284681,1.5309756515662
2000.33333333333,0.027691,0.039638,0.001856,0.025835,0.037782,0.0919872353829046,0.0570917442392287,0.0967990162885326,1.87619434444444,5.45307211958949,5.47470725804987,1.99273673258662
2000.41666666667,0.023721,0.023757,0.001856,0.021865,0.021901,0.0574035244410702,0.0846206874195246,0.104917468790197,1.7045812696672,5.42387332309544,5.45307211958949,1.87619434444444
2000.5,0.043245,0.054316,0.001856,0.041389,0.05246,-0.0141835180457258,0.0569760948278804,0.0818883009922868,1.383533986232,5.43756122706481,5.42387332309544,1.7045812696672
2000.58333333333,-0.004691,0.009427,0.001856,-0.006547,0.007571,-0.0322610585175011,0.00205075713140901,-0.104159142498732,1.6759095,5.44227183102919,5.43756122706481,1.383533986232
2000.66666666667,-0.045222,-0.037549,0.001856,-0.047078,-0.039405,0.0253032976873262,-0.053649882171034,-0.132329176204097,1.33067767292308,5.40378894412201,5.44227183102919,1.6759095
2000.75,0.024222,0.037849,0.001856,0.022366,0.035993,0.0718570762600377,0.06783527518029,-0.138649465528522,1.07869883333333,5.55372680303433,5.40378894412201,1.33067767292308
2000.83333333333,0.054174,0.061115,0.001856,0.052318,0.059259,0.0354373434607413,0.0365714585937023,-0.201425549847099,2.35390941666667,5.62037845289005,5.55372680303433,1.07869883333333
2000.91666666667,-0.002105,0.006892,0.001856,-0.003961,0.005036,-0.0767249384735327,0.0176582517470141,-0.213497413467331,1.291432939503,5.64730012314758,5.62037845289005,2.35390941666667
2001,-0.010399,-0.011319,0.001856,-0.012255,-0.013175,-0.00410478833026673,0.022725697059244,-0.262657240134027,1.57504993385238,5.65593792201873,5.64730012314758,1.291432939503
2001.08333333333,-0.059406,-0.065414,0.001856,-0.061262,-0.06727,0.000899538379165454,-0.104844848665661,-0.337386884610168,0.775667,5.6150852562618,5.65593792201873,1.57504993385238
2001.16666666667,0.075913,0.083172,0.001856,0.074057,0.081316,0.102073360384722,-0.0815414915179613,-0.273389967474753,2.70710823076923,5.66684202603336,5.6150852562618,0.775667
2001.25,-0.005454,0.003337,0.001856,-0.00731,0.001481,0.0268138716554374,-0.192066020719069,-0.280001768808417,1.75448866666667,5.5920100263647,5.66684202603336,2.70710823076923
2001.33333333333,0.035145,0.053201,0.001856,0.033289,0.051345,-0.10506878212107,-0.227539065700693,-0.24635938785629,1.67478233333333,5.33167798885793,5.5920100263647,1.75448866666667
2001.41666666667,0.00281,0.010087,0.001856,0.000954,0.008231,-0.166283545368333,-0.22486670576189,-0.336256545581391,2.33288725,5.0952223407294,5.33167798885793,1.67478233333333
